source,text,url
TEKTorg,АО «Оборонэнерго» Закупочные процедуры Закупочные процедуры,https://www.tektorg.ru/org/oboronenergo
TEKTorg,ОАО «РЖД» Закупочные процедуры Закупочные процедуры,https://www.tektorg.ru/org/rzd
TEKTorg,СПб ГКУ «Управление заказчика» Закупочные процедуры Закупочные процедуры,https://www.tektorg.ru/org/upravlenie_zakazchika
TEKTorg,[FIO] (Группа ППК) Закупочные процедуры Закупочные процедуры,https://www.tektorg.ru/org/portone
TEKTorg,ГУП «Петербургский метрополитен» Закупочные процедуры Закупочные процедуры,https://www.tektorg.ru/org/metro_spb
TEKTorg,АО «Спецнефтетранс» Закупочные процедуры Закупочные процедуры,https://www.tektorg.ru/org/sntrans
TEKTorg,АО «Силовые машины» Закупочные процедуры Закупочные процедуры,https://www.tektorg.ru/org/silovyi_machine
TEKTorg,ФГУП «Росморпорт» Закупочные процедуры Закупочные процедуры,https://www.tektorg.ru/org/rosmorport
TEKTorg,ТЭК Мосэнерго Закупочные процедуры Закупочные процедуры,https://www.tektorg.ru/org/mosenergo
TEKTorg,En+ Group Закупочные процедуры Закупочные процедуры,https://www.tektorg.ru/org/enplusgroup
TEKTorg,РТУ МИРЭА Закупочные процедуры Закупочные процедуры,https://www.tektorg.ru/org/mirea
TEKTorg,ПАО «ГМК «Норильский никель» Закупочные процедуры Закупочные процедуры,https://www.tektorg.ru/org/nornikel
TEKTorg,ПАО «Юнипро» Закупочные процедуры Закупочные процедуры,https://www.tektorg.ru/org/unipro
TEKTorg,АО «Зарубежнефть» Закупочные процедуры Закупочные процедуры,https://www.tektorg.ru/org/znft
TEKTorg,АО «Оборонэнерго» Закупочные процедуры Закупочные процедуры,https://www.tektorg.ru/org/oboronenergo
TEKTorg,ОАО «РЖД» Закупочные процедуры Закупочные процедуры,https://www.tektorg.ru/org/rzd
TEKTorg,СПб ГКУ «Управление заказчика» Закупочные процедуры Закупочные процедуры,https://www.tektorg.ru/org/upravlenie_zakazchika
TEKTorg,[FIO] (Группа ППК) Закупочные процедуры Закупочные процедуры,https://www.tektorg.ru/org/portone
TEKTorg,ГУП «Петербургский метрополитен» Закупочные процедуры Закупочные процедуры,https://www.tektorg.ru/org/metro_spb
TEKTorg,АО «Спецнефтетранс» Закупочные процедуры Закупочные процедуры,https://www.tektorg.ru/org/sntrans
TEKTorg,АО «Силовые машины» Закупочные процедуры Закупочные процедуры,https://www.tektorg.ru/org/silovyi_machine
TEKTorg,ФГУП «Росморпорт» Закупочные процедуры Закупочные процедуры,https://www.tektorg.ru/org/rosmorport
TEKTorg,ТЭК Мосэнерго Закупочные процедуры Закупочные процедуры,https://www.tektorg.ru/org/mosenergo
TEKTorg,En+ Group Закупочные процедуры Закупочные процедуры,https://www.tektorg.ru/org/enplusgroup
TEKTorg,РТУ МИРЭА Закупочные процедуры Закупочные процедуры,https://www.tektorg.ru/org/mirea
TEKTorg,ПАО «ГМК «Норильский никель» Закупочные процедуры Закупочные процедуры,https://www.tektorg.ru/org/nornikel
TEKTorg,ПАО «Юнипро» Закупочные процедуры Закупочные процедуры,https://www.tektorg.ru/org/unipro
TEKTorg,АО «Зарубежнефть» Закупочные процедуры Закупочные процедуры,https://www.tektorg.ru/org/znft
TEKTorg,"Эксперты ТЭК-Торг расскажут, как изменятся правила торгов госимуществом с 1 июля 2026 года 16 июня 2026",https://www.tektorg.ru/news-press/eksperty-tek-torg-rasskazut-kak-izmeniatsia-pravila-torgov-gosimushhestvom-s-1-iiulia-2026-goda
TEKTorg,ТЭК-Торг увеличил на 87% точность подбора закупок для поставщиков 11 июня 2026,https://www.tektorg.ru/news-press/tek-torg-uvelicil-na-87-tocnost-podbora-zakupok-dlia-postavshhikov
TEKTorg,44-ФЗ ТЭК-Торг приглашает поставщиков на вебинар с Татьяной Леонтьевой 20 мая 2026,https://www.tektorg.ru/news-press/tek-torg-priglasaet-postavshhikov-na-vebinar-s-tatianoi-leontevoi
TEKTorg,223-ФЗ ТЭК‑Торг проведет бесплатный вебинар о работе в секции ПАО «Интер РАО» 29 апреля 2026,https://www.tektorg.ru/news-press/tektorg-provedet-besplatnyi-vebinar-o-rabote-v-sekcii-pao-inter-rao
TEKTorg,Как торговый контур может стать «мостиком» между технологиями и бизнесом 27 мая 2026,https://www.tektorg.ru/news-media/kak-torgovyi-kontur-mozet-stat-mostikom-mezdu-texnologiiami-i-biznesom
TEKTorg,Зачем бизнес переходит на электронные торги 14 мая 2026,https://www.tektorg.ru/news-media/zacem-biznes-perexodit-na-elektronnye-torgi
